id, name, group, country, brand, color,thickness, width, length, priceEURO, weight, ultra
1,"СПК SOTON ECO ""STANDART"" - 10 років прозорий 4,00 мм",СПК,Україна,"SOTON ECO ""STANDART"" - 10 років",прозорий,"4,00","2100,00","6000,00","5,62","0,55",FALSE
2,"СПК SOTON ECO ""STANDART"" - 10 років прозорий 6,00 мм",СПК,Україна,"SOTON ECO ""STANDART"" - 10 років",прозорий,"6,00","2100,00","6000,00","8,19","0,84",FALSE
3,"СПК SOTON ECO ""STANDART"" - 10 років прозорий 8,00 мм",СПК,Україна,"SOTON ECO ""STANDART"" - 10 років",прозорий,"8,00","2100,00","6000,00","9,61","1,00",FALSE
4,"СПК SOTON ECO ""STANDART"" - 10 років прозорий 10,00 мм",СПК,Україна,"SOTON ECO ""STANDART"" - 10 років",прозорий,"10,00","2100,00","6000,00","10,60","1,12",FALSE
5,"СПК SOTON ECO ""STANDART"" - 10 років кольоровий 4,00 мм",СПК,Україна,"SOTON ECO ""STANDART"" - 10 років",кольоровий,"4,00","2100,00","6000,00","5,90","0,55",FALSE
6,"СПК SOTON ECO ""STANDART"" - 10 років кольоровий 6,00 мм",СПК,Україна,"SOTON ECO ""STANDART"" - 10 років",кольоровий,"6,00","2100,00","6000,00","8,60","0,84",FALSE
7,"СПК SOTON ECO ""STANDART"" - 10 років кольоровий 8,00 мм",СПК,Україна,"SOTON ECO ""STANDART"" - 10 років",кольоровий,"8,00","2100,00","6000,00","10,09","1,00",FALSE
8,"СПК SOTON ECO ""STANDART"" - 10 років кольоровий 10,00 мм",СПК,Україна,"SOTON ECO ""STANDART"" - 10 років",кольоровий,"10,00","2100,00","6000,00","11,13","1,12",FALSE
9,"СПК SOTON NANO ""PREMIUM"" - 10 років прозорий 4,00 мм",СПК,Україна,"SOTON NANO ""PREMIUM"" - 10 років",прозорий,"4,00","2100,00","6000,00","5,92","0,60",FALSE
10,"СПК SOTON NANO ""PREMIUM"" - 10 років прозорий 6,00 мм",СПК,Україна,"SOTON NANO ""PREMIUM"" - 10 років",прозорий,"6,00","2100,00","6000,00","9,02","0,93",FALSE
